No.,Time,Source,Destination,Protocol,Length,Info,Type,Type of attack
87,1742328468.30551,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:61675 > 192.168.88.6:47772 RA,Attack,Nmap Scan
88,1742328468.30788,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:37321 > 192.168.88.6:47772 RA,Attack,Nmap Scan
89,1742328468.3105607,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:36887 > 192.168.88.6:47772 RA,Attack,Nmap Scan
90,1742328468.312566,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:20559 > 192.168.88.6:47772 RA,Attack,Nmap Scan
91,1742328468.3151948,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:63791 > 192.168.88.6:47772 RA,Attack,Nmap Scan
92,1742328468.3196712,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:19536 > 192.168.88.6:47772 RA,Attack,Nmap Scan
93,1742328468.3266714,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:9275 S / Padding,Attack,Nmap Scan
94,1742328468.3348055,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:44938 S / Padding,Attack,Nmap Scan
95,1742328468.342354,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:24168 S / Padding,Attack,Nmap Scan
96,1742328468.3480775,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:59197 S / Padding,Attack,Nmap Scan
97,1742328468.3545547,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:43912 S / Padding,Attack,Nmap Scan
98,1742328468.357669,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:14554 S / Padding,Attack,Nmap Scan
99,1742328468.358192,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:60535 S / Padding,Attack,Nmap Scan
100,1742328468.3611696,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:56712 S / Padding,Attack,Nmap Scan
101,1742328468.365678,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:9275 > 192.168.88.6:47772 RA,Attack,Nmap Scan
102,1742328468.3698807,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:44938 > 192.168.88.6:47772 RA,Attack,Nmap Scan
103,1742328468.3762512,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:24168 > 192.168.88.6:47772 RA,Attack,Nmap Scan
104,1742328468.3843577,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:59197 > 192.168.88.6:47772 RA,Attack,Nmap Scan
105,1742328468.388662,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:43912 > 192.168.88.6:47772 RA,Attack,Nmap Scan
106,1742328468.3942869,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:14554 > 192.168.88.6:47772 RA,Attack,Nmap Scan
107,1742328468.3950303,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:60535 > 192.168.88.6:47772 RA,Attack,Nmap Scan
108,1742328468.400819,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:56712 > 192.168.88.6:47772 RA,Attack,Nmap Scan
109,1742328468.4061322,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:22219 S / Padding,Attack,Nmap Scan
110,1742328468.4073298,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:45244 S / Padding,Attack,Nmap Scan
111,1742328468.4103775,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:52327 S / Padding,Attack,Nmap Scan
112,1742328468.4144785,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:38712 S / Padding,Non-Attack,No Attack
113,1742328468.4185576,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:54609 S / Padding,Non-Attack,No Attack
114,1742328468.4255722,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:11246 S / Padding,Non-Attack,No Attack
115,1742328468.4280634,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:22219 > 192.168.88.6:47772 RA,Attack,Nmap Scan
116,1742328468.428445,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:45244 > 192.168.88.6:47772 RA,Attack,Nmap Scan
117,1742328468.4288204,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:52327 > 192.168.88.6:47772 RA,Attack,Nmap Scan
118,1742328468.4335463,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:38712 > 192.168.88.6:47772 RA,Attack,Nmap Scan
119,1742328468.4384363,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:54609 > 192.168.88.6:47772 RA,Non-Attack,No Attack
120,1742328468.4451609,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:11246 > 192.168.88.6:47772 RA,Non-Attack,No Attack
121,1742328468.451841,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:12893 S / Padding,Non-Attack,No Attack
122,1742328468.4585884,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:16386 S / Padding,Non-Attack,No Attack
123,1742328468.462613,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:55062 S / Padding,Non-Attack,No Attack
124,1742328468.4699638,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:29829 S / Padding,Non-Attack,No Attack
125,1742328468.4704266,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:12893 > 192.168.88.6:47772 RA,Non-Attack,No Attack
126,1742328468.4708066,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:16386 > 192.168.88.6:47772 RA,Non-Attack,No Attack
127,1742328468.4711297,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:55062 > 192.168.88.6:47772 RA,Non-Attack,No Attack
128,1742328468.47155,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:29829 > 192.168.88.6:47772 RA,Non-Attack,No Attack
129,1742328468.4719353,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:38641 S / Padding,Non-Attack,No Attack
130,1742328468.4723158,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:4813 S / Padding,Non-Attack,No Attack
131,1742328468.4727006,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:38641 > 192.168.88.6:47772 RA,Non-Attack,No Attack
132,1742328468.4730365,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:4813 > 192.168.88.6:47772 RA,Non-Attack,No Attack
133,1742328468.4734793,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:21594 S / Padding,Non-Attack,No Attack
134,1742328468.4738405,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:34394 S / Padding,Non-Attack,No Attack
135,1742328468.4742196,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:21594 > 192.168.88.6:47772 RA,Non-Attack,No Attack
136,1742328468.474532,192.168.88.9,192.168.88.6,TCP,54,Ether / IP / TCP 192.168.88.9:34394 > 192.168.88.6:47772 RA,Non-Attack,No Attack
137,1742328468.474939,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:61874 S / Padding,Non-Attack,No Attack
138,1742328468.4752963,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:5171 S / Padding,Non-Attack,No Attack
139,1742328468.4757373,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:62595 S / Padding,Non-Attack,No Attack
140,1742328468.4760954,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:12532 S / Padding,Non-Attack,No Attack
141,1742328468.4764457,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:41786 S / Padding,Non-Attack,No Attack
142,1742328468.476809,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:21705 S / Padding,Non-Attack,No Attack
143,1742328468.4819794,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:40878 S / Padding,Non-Attack,No Attack
144,1742328468.4824178,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:61183 S / Padding,Non-Attack,No Attack
145,1742328468.4828296,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:24922 S / Padding,Non-Attack,No Attack
146,1742328468.4832501,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:28894 S / Padding,Non-Attack,No Attack
147,1742328468.4844244,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:1333 S / Padding,Non-Attack,No Attack
148,1742328468.4849277,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:37479 S / Padding,Non-Attack,No Attack
149,1742328468.4853375,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:31980 S / Padding,Non-Attack,No Attack
150,1742328468.4857385,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:43253 S / Padding,Non-Attack,No Attack
151,1742328468.4860897,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:54009 S / Padding,Non-Attack,No Attack
152,1742328468.4864318,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:36727 S / Padding,Non-Attack,No Attack
153,1742328468.4867885,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:22851 S / Padding,Non-Attack,No Attack
154,1742328468.4871387,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:24690 S / Padding,Non-Attack,No Attack
155,1742328468.4874842,192.168.88.6,192.168.88.9,TCP,60,Ether / IP / TCP 192.168.88.6:47772 > 192.168.88.9:27034 S / Padding,Non-Attack,No Attack
